File,Location,Direct Dependencies
# ==========================================================================================
# TAPPaaS Foundation Layer - Direct Dependencies
# Generated: 2026-06-25 (ADR-007 #3: TypeScript managers shell out to legacy verb scripts)
# ==========================================================================================
# Direct deps are: scripts sourced (. / source), TAPPaaS programs/bins invoked by name,
# and config files read (site.json, zones.json, environments/, network.json, or a module's
# own <name>.json). Semicolon-separated.
#
# configuration.json is RETIRED in favour of site.json. Older bash scripts that have not yet
# migrated still read configuration.json; those are recorded as-is and flagged. Many network
# scripts read network.json with a firewall.json fallback; recorded as network.json.
#
# THE 7 TS MANAGERS are verb-aligned front doors. Their src/main.ts spawns legacy bash verb
# scripts (recorded as the manager -> <verb>.sh edge). The default spawn bin names live in
# src/main.ts via process.env.*_BIN ?? "<name>".
#
# === tappaas-cicd (top level) ===
bootstrap.sh,tappaas-cicd/,
install.sh,tappaas-cicd/,common-install-routines.sh; create-site.sh; create-minimal-environments.sh; copy-update-json.sh; update-module.sh; site.json; zones.json
pre-update.sh,tappaas-cicd/,common-install-routines.sh; site.json; zones.json
update.sh,tappaas-cicd/,common-install-routines.sh
test.sh,tappaas-cicd/,common-install-routines.sh; create-site.sh; validate-site.sh; validate-people.sh; repository.sh; copy-update-json.sh; snapshot-vm.sh; backup-controller; update-os.sh; inspect-cluster.sh; inspect-vm.sh; check-disk-threshold.sh; site.json; zones.json
#
# === tappaas-cicd/lib ===
apply-json-merge.sh,tappaas-cicd/lib/,common-install-routines.sh; convert-json-to-config.sh
audit-jq-readers.sh,tappaas-cicd/lib/,
common-install-routines.sh,tappaas-cicd/lib/,convert-json-to-config.sh; copy-update-json.sh; snapshot-vm.sh
test-config-readers.sh,tappaas-cicd/lib/,common-install-routines.sh
#
# === tappaas-cicd/scripts ===
acme-setup.sh,tappaas-cicd/scripts/,common-install-routines.sh
rest-of-foundation.sh,tappaas-cicd/scripts/,common-install-routines.sh; user-setup.sh; people-manager; repository.sh; site.json
setup-caddy.sh,tappaas-cicd/scripts/,common-install-routines.sh; site.json
#
# === tappaas-cicd/scripts/test ===
test-acme-provider-hook.sh,tappaas-cicd/scripts/test/,common-install-routines.sh
test-alias-name-validation.sh,tappaas-cicd/scripts/test/,common-install-routines.sh
test-convert-to-config.sh,tappaas-cicd/scripts/test/,common-install-routines.sh; convert-json-to-config.sh
test-install-overrides.sh,tappaas-cicd/scripts/test/,
test-json-merge.sh,tappaas-cicd/scripts/test/,common-install-routines.sh; apply-json-merge.sh; convert-json-to-config.sh
test-migrate-zone-keys.sh,tappaas-cicd/scripts/test/,common-install-routines.sh
test-read-module-config.sh,tappaas-cicd/scripts/test/,common-install-routines.sh
test-template-contract.sh,tappaas-cicd/scripts/test/,validate.sh
test-zone-name-validation.sh,tappaas-cicd/scripts/test/,common-install-routines.sh
test-zone-state.sh,tappaas-cicd/scripts/test/,
#
# === tappaas-cicd/manager (component dispatchers) ===
install.sh,tappaas-cicd/manager/,
test.sh,tappaas-cicd/manager/,
update.sh,tappaas-cicd/manager/,
#
# === tappaas-cicd/manager/people-manager (TS manager: people-manager) ===
src/main.ts,tappaas-cicd/manager/people-manager/,authentik-manager; validate-people.sh
src/config.ts,tappaas-cicd/manager/people-manager/,
src/entity.ts,tappaas-cicd/manager/people-manager/,
src/primitives.ts,tappaas-cicd/manager/people-manager/,
src/reconcile.ts,tappaas-cicd/manager/people-manager/,
src/types.ts,tappaas-cicd/manager/people-manager/,
user-setup.sh,tappaas-cicd/manager/people-manager/,common-install-routines.sh; validate.sh
validate.sh,tappaas-cicd/manager/people-manager/,common-install-routines.sh; validate-configuration.sh
install.sh,tappaas-cicd/manager/people-manager/,common-install-routines.sh; people-manager; user-setup.sh; validate.sh
test.sh,tappaas-cicd/manager/people-manager/,validate.sh; user-setup.sh
update.sh,tappaas-cicd/manager/people-manager/,common-install-routines.sh
#
# === tappaas-cicd/manager/site-manager (TS manager: site-manager) ===
src/main.ts,tappaas-cicd/manager/site-manager/,create-site.sh; repository.sh; validate-site.sh; environment-manager; network-manager; people-manager; git; site.json; environments
src/client.ts,tappaas-cicd/manager/site-manager/,create-site.sh; repository.sh; validate-site.sh
src/config.ts,tappaas-cicd/manager/site-manager/,site.json
src/reconcile.ts,tappaas-cicd/manager/site-manager/,repository.sh
src/types.ts,tappaas-cicd/manager/site-manager/,
convert-json-to-config.sh,tappaas-cicd/manager/site-manager/,copy-update-json.sh
create-configuration.sh,tappaas-cicd/manager/site-manager/,common-install-routines.sh; validate-configuration.sh
create-site.sh,tappaas-cicd/manager/site-manager/,common-install-routines.sh; validate-site.sh
